"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12166","POM","chromium","Sun Dec 22 20:04:32 IST 2024","failed","Sun Dec 22 20:04:45 IST 2024","","POMAmazonTestFile.spec.js","",""
"","43313","orderplacing best sellers products","chromium","Thu Dec 26 17:23:43 IST 2024","passed","Thu Dec 26 17:24:26 IST 2024","","POMAmazonTestFile.spec.js","",""
"","5312","Print all links","chromium","Tue Dec 24 19:47:22 IST 2024","passed","Tue Dec 24 19:47:28 IST 2024","","POMAmazonTestFile.spec.js","",""
"","30645","POM Amazon Best Seller Product Order Placement","chromium","Mon Dec 23 12:12:08 IST 2024","broken","Mon Dec 23 12:12:39 IST 2024","","POMAmazonTestFile.spec.js","",""
